region,total,18_30,31_40,41_50,51_60,60_,date
Российская Федерация,11640873.0,550895.0,766054.0,1030652.0,2135436.0,7157836.0,2017-01-01
Центральный федеральный округ,3420310.0,118579.0,172662.0,257484.0,598102.0,2273483.0,2017-01-01
Белгородская область,223030.0,6318.0,10383.0,16596.0,37444.0,152289.0,2017-01-01
Брянская область,110418.0,4215.0,6568.0,10230.0,21481.0,67924.0,2017-01-01
Владимирская область,133352.0,4454.0,6811.0,9606.0,23322.0,89159.0,2017-01-01
Воронежская область,220955.0,7711.0,11508.0,17934.0,45631.0,138171.0,2017-01-01
Ивановская область,82751.0,3182.0,4675.0,6334.0,13503.0,55057.0,2017-01-01
Калужская область,78592.0,3436.0,4801.0,6204.0,14083.0,50068.0,2017-01-01
Костромская область,64339.0,2446.0,3790.0,5017.0,12304.0,40782.0,2017-01-01
Курская область,120714.0,5578.0,8482.0,13476.0,28473.0,64705.0,2017-01-01
Липецкая область,125071.0,4582.0,6792.0,10340.0,24905.0,78452.0,2017-01-01
Орловская область,65428.0,2594.0,3727.0,5394.0,12432.0,41281.0,2017-01-01
Рязанская область,138490.0,4334.0,6388.0,9920.0,25450.0,92398.0,2017-01-01
Смоленская область,79452.0,3500.0,5249.0,6969.0,15413.0,48321.0,2017-01-01
Тамбовская область,116525.0,3426.0,5746.0,9743.0,21973.0,75637.0,2017-01-01
Тверская область,103014.0,4272.0,6376.0,8264.0,19080.0,65022.0,2017-01-01
Тульская область,153847.0,5930.0,9135.0,14456.0,30629.0,93697.0,2017-01-01
Ярославская область,112360.0,3106.0,5254.0,7602.0,16761.0,79637.0,2017-01-01
город Москва,1064216.0,31279.0,41797.0,66081.0,161590.0,763469.0,2017-01-01
Московская область,427756.0,18216.0,25180.0,33318.0,73628.0,277414.0,2017-01-01
Северо-Западный федеральный округ,1313590.0,41457.0,59986.0,79824.0,184488.0,947835.0,2017-01-01
Республика Карелия,66080.0,2245.0,3197.0,4181.0,8797.0,47660.0,2017-01-01
Республика Коми,64898.0,3437.0,5389.0,6415.0,13322.0,36335.0,2017-01-01
Архангельская область,88792.0,3488.0,5159.0,6747.0,13834.0,59564.0,2017-01-01
Ненецкий автономный округ,2941.0,157.0,209.0,282.0,573.0,1720.0,2017-01-01
Вологодская область,105365.0,3352.0,5424.0,7150.0,18561.0,70878.0,2017-01-01
Калининградская область,73169.0,3092.0,4466.0,5980.0,12492.0,47139.0,2017-01-01
город Санкт-Петербург,621591.0,14061.0,18903.0,27050.0,67883.0,493694.0,2017-01-01
Ленинградская область,146192.0,5058.0,7656.0,9907.0,24055.0,99516.0,2017-01-01
Мурманская область,29679.0,1680.0,2291.0,2967.0,4928.0,17813.0,2017-01-01
Новгородская область,64362.0,2372.0,3558.0,4720.0,11342.0,42370.0,2017-01-01
