region,year,poverty_percent
Российская Федерация,1992,33.5
Российская Федерация,1993,31.3
Российская Федерация,1994,22.4
Российская Федерация,1995,24.8
Российская Федерация,1996,22.1
Российская Федерация,1997,20.8
Российская Федерация,1998,23.4
Российская Федерация,1999,28.4
Российская Федерация,2000,29.0
Российская Федерация,2001,27.5
Российская Федерация,2002,24.6
Российская Федерация,2003,20.3
Российская Федерация,2004,17.6
Российская Федерация,2005,17.8
Российская Федерация,2006,15.2
Российская Федерация,2007,13.3
Российская Федерация,2008,13.4
Российская Федерация,2009,13.0
Российская Федерация,2010,12.5
Российская Федерация,2011,12.7
Российская Федерация,2012,10.7
Российская Федерация,2013,10.8
Российская Федерация,2014,11.3
Российская Федерация,2015,13.4
Российская Федерация,2016,13.2
Российская Федерация,2017,12.9
Российская Федерация,2018,12.6
Российская Федерация,2019,12.3
Российская Федерация,2020,12.1
    Центральный федеральный округ,2003,0.0
    Центральный федеральный округ,2004,0.0
    Центральный федеральный округ,2005,0.0
    Центральный федеральный округ,2006,0.0
    Центральный федеральный округ,2007,0.0
    Центральный федеральный округ,2008,0.0
    Центральный федеральный округ,2009,0.0
    Центральный федеральный округ,2010,0.0
    Центральный федеральный округ,2011,0.0
    Центральный федеральный округ,2012,0.0
    Центральный федеральный округ,2013,0.0
    Центральный федеральный округ,2014,0.0
    Центральный федеральный округ,2015,0.0
    Центральный федеральный округ,2016,0.0
    Центральный федеральный округ,2017,0.0
    Центральный федеральный округ,2018,0.0
        Белгородская область,1995,19.9
        Белгородская область,1996,17.6
        Белгородская область,1997,18.9
        Белгородская область,1998,20.1
        Белгородская область,1999,24.2
        Белгородская область,2000,33.6
        Белгородская область,2001,29.1
        Белгородская область,2002,25.4
        Белгородская область,2003,22.9
        Белгородская область,2004,20.7
        Белгородская область,2005,18.1
        Белгородская область,2006,15.1
        Белгородская область,2007,12.5
        Белгородская область,2008,10.0
        Белгородская область,2009,10.1
        Белгородская область,2010,8.2
        Белгородская область,2011,8.6
        Белгородская область,2012,6.5
        Белгородская область,2013,7.6
        Белгородская область,2014,7.7
        Белгородская область,2015,8.5
        Белгородская область,2016,8.1
        Белгородская область,2017,7.8
        Белгородская область,2018,7.5
        Белгородская область,2019,7.8
        Белгородская область,2020,7.2
        Брянская область,1995,22.7
        Брянская область,1996,19.2
        Брянская область,1997,18.4
        Брянская область,1998,25.3
        Брянская область,1999,39.6
        Брянская область,2000,42.3
        Брянская область,2001,35.8
        Брянская область,2002,31.2
        Брянская область,2003,26.7
        Брянская область,2004,25.2
        Брянская область,2005,20.0
        Брянская область,2006,19.4
        Брянская область,2007,18.3
        Брянская область,2008,15.7
        Брянская область,2009,15.2
        Брянская область,2010,13.5
        Брянская область,2011,12.6
        Брянская область,2012,10.5
        Брянская область,2013,12.6
        Брянская область,2014,13.2
        Брянская область,2015,14.1
        Брянская область,2016,14.4
        Брянская область,2017,14.2
        Брянская область,2018,13.6
        Брянская область,2019,13.8
        Брянская область,2020,13.6
        Владимирская область,1995,27.6
        Владимирская область,1996,26.7
        Владимирская область,1997,23.9
        Владимирская область,1998,27.7
        Владимирская область,1999,37.5
        Владимирская область,2000,44.7
        Владимирская область,2001,40.7
        Владимирская область,2002,35.3
        Владимирская область,2003,30.3
        Владимирская область,2004,29.7
        Владимирская область,2005,29.5
        Владимирская область,2006,25.5
        Владимирская область,2007,23.1
        Владимирская область,2008,19.9
        Владимирская область,2009,19.5
        Владимирская область,2010,17.3
        Владимирская область,2011,17.5
        Владимирская область,2012,15.0
        Владимирская область,2013,14.1
        Владимирская область,2014,14.2
        Владимирская область,2015,14.7
        Владимирская область,2016,14.6
        Владимирская область,2017,13.2
        Владимирская область,2018,13.1
        Владимирская область,2019,12.6
        Владимирская область,2020,12.5
        Воронежская область,1995,23.1
        Воронежская область,1996,25.1
        Воронежская область,1997,20.2
        Воронежская область,1998,20.1
        Воронежская область,1999,29.4
        Воронежская область,2000,41.9
        Воронежская область,2001,36.6
        Воронежская область,2002,33.8
        Воронежская область,2003,28.9
        Воронежская область,2004,25.4
        Воронежская область,2005,23.7
        Воронежская область,2006,20.2
        Воронежская область,2007,20.0
        Воронежская область,2008,18.2
        Воронежская область,2009,20.1
        Воронежская область,2010,18.4
        Воронежская область,2011,17.2
        Воронежская область,2012,10.3
        Воронежская область,2013,9.4
        Воронежская область,2014,9.2
        Воронежская область,2015,9.5
        Воронежская область,2016,9.4
        Воронежская область,2017,9.0
        Воронежская область,2018,8.9
        Воронежская область,2019,8.9
        Воронежская область,2020,8.5
        Ивановская область,1995,33.3
        Ивановская область,1996,31.4
        Ивановская область,1997,26.5
        Ивановская область,1998,30.0
        Ивановская область,1999,59.5
        Ивановская область,2000,68.4
        Ивановская область,2001,68.2
        Ивановская область,2002,60.8
        Ивановская область,2003,53.3
        Ивановская область,2004,47.6
        Ивановская область,2005,41.3
        Ивановская область,2006,34.6
        Ивановская область,2007,31.6
        Ивановская область,2008,22.6
        Ивановская область,2009,22.7
        Ивановская область,2010,20.1
        Ивановская область,2011,19.0
        Ивановская область,2012,13.8
        Ивановская область,2013,14.4
        Ивановская область,2014,14.6
        Ивановская область,2015,16.0
        Ивановская область,2016,14.9
        Ивановская область,2017,14.3
        Ивановская область,2018,14.7
        Ивановская область,2019,14.2
        Ивановская область,2020,13.7
        Калужская область,1995,26.6
        Калужская область,1996,24.5
        Калужская область,1997,24.7
        Калужская область,1998,24.2
        Калужская область,1999,42.3
        Калужская область,2000,45.5
        Калужская область,2001,40.3
        Калужская область,2002,35.0
        Калужская область,2003,29.6
        Калужская область,2004,23.2
        Калужская область,2005,19.9
        Калужская область,2006,17.4
        Калужская область,2007,14.0
        Калужская область,2008,12.9
        Калужская область,2009,12.3
        Калужская область,2010,11.3
        Калужская область,2011,11.1
        Калужская область,2012,8.5
        Калужская область,2013,9.4
        Калужская область,2014,9.7
        Калужская область,2015,10.8
        Калужская область,2016,10.3
        Калужская область,2017,10.0
        Калужская область,2018,10.4
        Калужская область,2019,10.2
        Калужская область,2020,9.7
        Костромская область,1995,29.9
        Костромская область,1996,21.2
        Костромская область,1997,19.3
        Костромская область,1998,25.3
        Костромская область,1999,38.3
        Костромская область,2000,37.5
        Костромская область,2001,36.6
        Костромская область,2002,35.5
        Костромская область,2003,33.1
        Костромская область,2004,28.4
        Костромская область,2005,23.2
        Костромская область,2006,18.9
        Костромская область,2007,18.4
        Костромская область,2008,18.2
        Костромская область,2009,19.0
        Костромская область,2010,15.7
        Костромская область,2011,16.5
        Костромская область,2012,15.1
        Костромская область,2013,14.2
        Костромская область,2014,13.6
        Костромская область,2015,14.3
        Костромская область,2016,13.7
        Костромская область,2017,13.4
        Костромская область,2018,12.7
        Костромская область,2019,12.6
        Костромская область,2020,12.5
        Курская область,1995,19.9
        Курская область,1996,24.9
        Курская область,1997,22.1
        Курская область,1998,25.1
        Курская область,1999,36.6
        Курская область,2000,42.2
        Курская область,2001,39.5
        Курская область,2002,33.7
        Курская область,2003,30.7
        Курская область,2004,24.9
        Курская область,2005,20.2
        Курская область,2006,15.3
        Курская область,2007,12.5
        Курская область,2008,11.1
        Курская область,2009,11.7
        Курская область,2010,10.8
        Курская область,2011,10.4
        Курская область,2012,8.2
        Курская область,2013,9.6
        Курская область,2014,9.2
        Курская область,2015,10.4
        Курская область,2016,10.5
        Курская область,2017,10.3
        Курская область,2018,9.9
        Курская область,2019,9.9
        Курская область,2020,9.9
        Липецкая область,1995,18.6
        Липецкая область,1996,17.3
        Липецкая область,1997,17.5
        Липецкая область,1998,19.4
        Липецкая область,1999,30.7
        Липецкая область,2000,30.9
        Липецкая область,2001,24.8
        Липецкая область,2002,25.8
        Липецкая область,2003,22.2
        Липецкая область,2004,19.1
        Липецкая область,2005,15.4
        Липецкая область,2006,11.6
        Липецкая область,2007,10.9
        Липецкая область,2008,10.5
        Липецкая область,2009,9.9
        Липецкая область,2010,9.9
        Липецкая область,2011,10.6
