region,production_field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Российская Федерация,РАЗДЕЛ С ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,3062459894.0,3720886658.0,4488914995.0,5271732562.0,5090973012.0,6217952034.1,8020217498.56,8950066498.83,9213744949.66,9690977693.16,11259541652.7,11730497742.4
Российская Федерация,    Подраздел СА ДОБЫЧА ТОПЛИВНО-ЭНЕРГЕТИЧЕСКИХ ПОЛЕЗНЫХ  ИСКОПАЕМЫХ,2686255589.0,3292690996.0,3983633120.0,4650668855.0,4537653613.0,5470739724.6,7032307611.89,7921744812.14,8160341664.85,8563861573.93,9896534853.0,10169554556.75
Российская Федерация,"        Добыча каменного угля,бурого угля и торфа",232179403.1,226450584.6,286299113.4,441424121.1,348558233.7,508902460.8,666316090.91,651461991.53,600387061.57,622242473.22,772128262.7,909036693.44
Российская Федерация,        Добыча сырой нефти и природного газа; предоставление услуг в этих областях,2450540935.0,3061557141.0,3691793678.0,4202276371.0,4180327771.0,4951480066.8,6355953406.28,7267042617.91,7556541547.58,7938531813.61,9121646916.9,9256097453.11
Российская Федерация,        Добыча урановой и ториевой руд,3535251.2,4683270.5,5540328.6,6968363.8,,10357195.0,10038114.7,3240202.7,3413055.7,3087287.1,2759673.4,4420410.2
Российская Федерация,"    Подраздел СВ ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ, КРОМЕ ТОПЛИВНО- ЭНЕРГЕТИЧЕСКИХ",376204305.2,428195662.0,505281875.1,621063707.0,553319399.0,747212310.1,987909886.67,1028321686.69,1053403284.81,1127116119.23,1363006799.7,1560943185.65
Российская Федерация,        Добыча металлических руд,225738387.6,253022726.8,305228033.3,368087943.9,347726010.6,482843987.5,651325988.69,643567967.76,635734687.74,675640367.66,831770820.4,931882474.18
Российская Федерация,        Добыча прочих полезных ископаемых,150465917.6,175172935.2,200053841.8,252975763.1,205593388.4,264368324.6,336583897.98,384753718.93,417668597.07,451475751.57,531235979.3,629060711.47
Российская Федерация,РАЗДЕЛ D ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,8871975885.0,11185373836.0,13977777237.0,16863615035.0,14351984832.0,18880736716.85,22813279482.46,25110611030.21,26839759881.09,29661252018.08,35090428237.33,36166118953.42
Российская Федерация,"    Подраздел DA ПРОИЗВОДСТВО ПИЩЕВЫХ ПРОДУКТОВ, ВКЛЮЧАЯ НАПИТКИ, И ТАБАКА",1485653083.0,1729158143.0,2143327456.0,2656041785.0,2822146209.0,3262198678.97,3601512018.24,4000507788.12,4271775962.66,4840024230.15,6075611224.51,6480701860.06
Российская Федерация,"        Производство пищевых продуктов, включая напитки",1397774975.0,1631745679.0,2038899669.0,2532455531.0,2671994350.0,3097675855.97,3428382127.54,3796619846.42,4077676452.26,4636138047.45,5810003560.31,6183273041.36
Российская Федерация,        Производство табачных изделий,87752383.8,97412463.91,104427786.2,123586253.7,150151858.8,164522823.0,173129890.7,203887941.7,194099510.4,203886182.7,265607664.2,297428818.7
