region,production_field,2017,2018,2019,2020
Российская Федерация,ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,13916164842.7,18193869946.9,18324126764.6,14498899587.47
Российская Федерация,    Добыча угля,1228407037.2,1567150715.0,1392653943.1,1100662073.7
Российская Федерация,        Добыча и обогащение угля и антрацита,1151523295.3,1472893432.7,1302804276.8,1012753539.5
Российская Федерация,        Добыча и обогащение бурого угля (лигнита),76883741.9,94257282.3,89849666.3,87908534.2
Российская Федерация,    Добыча нефти и природного газа,9286030086.5,12873614752.9,12859340521.7,8945389674.8
Российская Федерация,            Добыча нефти и нефтяного (попутного) газа,7834483516.2,11078752763.1,11019125179.5,7322251760.6
Российская Федерация,            Добыча природного газа и газового конденсата,1451546570.3,1794861989.8,1840215342.2,1623137914.2
Российская Федерация,    Добыча металлических руд,1026605432.3,1198575557.4,1204019815.9,1553850593.15
Российская Федерация,            Добыча и обогащение железных руд,348487085.6,420883117.2,502392245.3,525167647.8
Российская Федерация,        Добыча руд цветных металлов,678118346.7,777692440.2,701627570.6,1028682945.35
Российская Федерация,    Добыча прочих полезных ископаемых,574665182.8,614362547.5,577723704.2,557738899.52
Российская Федерация,"        Добыча камня, песка и глины",204348076.3,231132102.1,247037933.9,250949629.86
Российская Федерация,"        Добыча полезных ископаемых, не включенных в другие группировки",370317106.4,383230445.4,330685770.3,306789269.66
Российская Федерация,    Предоставление услуг в области добычи полезных ископаемых,1800457104.1,1940166374.1,2290388780.2,2341258346.3
Российская Федерация,        Предоставление услуг в области добычи нефти и природного газа,1776098990.3,1902223207.8,2237497451.7,2295347459.3
Российская Федерация,        Предоставление услуг в других областях добычи полезных ископаемых,24358113.8,37943166.3,52891328.8,45910887.0
Российская Федерация,ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,38712462741.97,44599511887.91,47436024531.27,47782550088.77
Российская Федерация,    Производство пищевых продуктов,5470795583.14,5818185364.43,6415791382.79,6985260943.7
Российская Федерация,        Переработка и консервирование мяса и мясной пищевой продукции,1432820215.07,1562775026.64,1720048495.95,1795844829.9
Российская Федерация,"        Переработка и консервирование рыбы, ракообразных и моллюсков",352414876.5,421750527.3,482083906.68,461107577.71
Российская Федерация,        Переработка и консервирование фруктов и овощей,136404991.84,175231632.44,201963409.26,210854970.04
Российская Федерация,        Производство растительных и животных масел и жиров,464025115.9,467249480.76,528953450.1,725838990.3
Российская Федерация,        Производство молочной продукции,859043792.31,910501545.95,972878974.84,1076242905.34
Российская Федерация,"        Производство продуктов мукомольной и крупяной промышленности, крахмала и крахмалосодержащих продуктов",203246710.05,213347240.59,261169808.81,284187823.37
Российская Федерация,        Производство хлебобулочных и мучных кондитерских изделий,554463341.37,547013626.12,594459917.54,624470737.03
Российская Федерация,        Производство прочих пищевых продуктов,1056622153.1,1056934493.23,1132006262.5,1262829009.03
Российская Федерация,        Производство готовых кормов для животных,411754387.2,463381791.4,522227154.71,543884101.26
Российская Федерация,    Производство напитков,705770516.3,755030409.95,820058645.4,831066242.89
Российская Федерация,    Производство табачных изделий,174839920.1,223719663.7,208033712.7,243868801.0
Российская Федерация,    Производство текстильных изделий,203033405.21,230282797.41,239186168.66,281042937.22
Российская Федерация,            Подготовка и прядение текстильных волокон,11591491.0,8808877.0,7402905.7,6933629.2
Российская Федерация,            Производство текстильных тканей,52559084.3,59069069.8,58769115.9,73008448.7
Российская Федерация,            Отделка тканей и текстильных изделий,8531940.7,5137081.5,6423159.48,7328697.2
Российская Федерация,        Производство прочих текстильных изделий,130350889.21,157267769.11,166590987.58,193772162.12
Российская Федерация,    Производство одежды,172302498.27,192899322.24,196936054.9,214684636.46
Российская Федерация,"        Производство одежды, кроме одежды из меха",153756438.61,173524900.06,178709579.32,198388209.86
Российская Федерация,            Производство меховых изделий,2699769.5,3193088.2,3296170.2,2644537.8
Российская Федерация,        Производство вязаных и трикотажных изделий одежды,15846290.16,16181333.98,14930305.38,13651888.8
Российская Федерация,    Производство кожи и изделий из кожи,76528445.53,80117816.1,76315981.92,70676838.49
Российская Федерация,"        Дубление и отделка кожи, производство чемоданов, сумок, шорно-седельных изделий из кожи; выделка и крашение меха",28304453.85,25449337.4,23167692.02,19552668.22
Российская Федерация,        Производство обуви,48223991.78,54668478.6,53148289.9,51124170.27
Российская Федерация,"    Обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",548647043.77,673288844.4,714280441.26,740423072.24
Российская Федерация,        Распиловка и строгание древесины,222617298.21,262933283.69,285933177.79,302859177.32
Российская Федерация,"        Производство изделий из дерева, пробки, соломки и материалов для плетения",326029745.16,410355560.71,428347263.47,437563894.92
Российская Федерация,    Производство бумаги и бумажных изделий,768108440.3,921691698.35,930992889.43,947536238.36
Российская Федерация,"        Производство целлюлозы, древесной массы, бумаги и картона",344737201.6,446309487.2,408067894.0,397712390.76
Российская Федерация,        Производство изделий из бумаги и картона,423371238.7,475382211.15,522924995.43,549823847.6
Российская Федерация,    Деятельность полиграфическая и копирование носителей информации,255932285.57,263451061.89,283756177.3,277739884.54
Российская Федерация,        Деятельность полиграфическая и предоставление услуг в этой области,253772428.57,260940141.09,273777601.5,276058931.14
Российская Федерация,            Копирование записанных носителей информации,2159857.0,2510920.8,9978575.8,1680953.4
Российская Федерация,    Производство кокса и нефтепродуктов,8202805005.1,10397415355.4,10253618614.8,8479032099.3
Российская Федерация,        Производство кокса,167405023.4,172791041.4,163197962.0,143082988.8
Российская Федерация,        Производство нефтепродуктов,8035311839.4,10224199287.5,10089666624.6,8334933262.5
Российская Федерация,"        Агломерация угля, антрацита и бурого угля (лигнита) и производство термоуглей",88142.3,425026.5,754028.2,1015848.0
Российская Федерация,    Производство химических веществ и химических продуктов,2742593033.47,3265832716.2,3280445610.96,3405441115.69
Российская Федерация,"        Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах",2041349268.0,2493247892.54,2487144172.96,2546500132.31
Российская Федерация,            Производство пестицидов и прочих агрохимических продуктов,41820426.2,45533998.35,48139252.2,67630766.85
Российская Федерация,"            Производство красок, лаков и аналогичных материалов для нанесения покрытий, полиграфических красок и мастик",116432152.8,128313870.8,140602347.7,158286083.73
Российская Федерация,"        Производство мыла и моющих, чистящих и полирующих средств; парфюмерных и косметических средств",281336848.67,305772000.41,322586968.0,363476566.1
Российская Федерация,        Производство прочих химических продуктов,239351556.4,268766393.5,258739819.0,246024015.8
Российская Федерация,            Производство химических волокон,22302781.4,24198560.6,23233052.2,23523551.1
Российская Федерация,"    Производство лекарственных средств и материалов, применяемых в медицинских целях",500371764.6,557797849.7,638767236.1,911759861.56
Российская Федерация,        Производство фармацевтических субстанций,31306423.9,23734448.9,32076247.4,61503125.6
Российская Федерация,"        Производство лекарственных препаратов и материалов, применяемых в медицинских целях",469065340.7,534063400.8,606690988.7,850256735.96
Российская Федерация,    Производство резиновых и пластмассовых изделий,1019689909.8,1160522995.1,1218552865.76,1317063724.76
Российская Федерация,        Производство резиновых изделий,209607002.8,237094945.2,230064956.5,244058567.6
Российская Федерация,        Производство изделий из пластмасс,810082907.0,923428049.9,988487909.46,1073005157.16
Российская Федерация,    Производство прочей неметаллической минеральной продукции,1443784899.43,1602972132.35,1752046405.9,1787809190.65
Российская Федерация,        Производство стекла и изделий из стекла,206035069.6,231123105.9,231274455.4,253644400.88
Российская Федерация,            Производство огнеупорных изделий,68163599.5,72888031.8,80770914.6,74585605.2
Российская Федерация,        Производство строительных керамических материалов,99024501.1,104430398.54,112589613.16,109502764.85
Российская Федерация,        Производство прочих фарфоровых и керамических изделий,33849807.8,39183957.8,31969585.91,33332580.9
Российская Федерация,"        Производство цемента, извести и гипса",232241715.8,236209171.2,260878738.1,260139365.28
