region,density,living_area,gdpp,spec_subsidies,welfare,retail,poverty_percent,living_wage,unemployment_rate
"('Алтайский край', 'Алтайский край')",13.792905783471037,18.0,291156.9,32067.902020419024,29.7,153605,17.5,10904,5.9
"('Амурская область', 'Амурская область')",2.182996783712988,17.3,571362.1,43050.62192403208,21.7,245233,15.2,14331,6.0
"('Архангельская область без Ненецкого АО', 'Архангельская область без Ненецкого АО')",2.644434923009516,16.9,514200.4,38856.66451151751,21.4,250033,12.3,14507,7.4
"('Астраханская область', 'Астраханская область')",20.51611455613577,19.2,526950.9,23911.906335428557,31.4,174527,15.6,11287,7.8
"('Белгородская область', 'Белгородская область')",57.09261443207784,17.8,646569.0,22929.91867273752,16.1,237076,7.2,10403,4.9
"('Брянская область', 'Брянская область')",34.21094758585076,24.1,347204.5,38982.05499676728,23.1,225643,13.6,11760,4.0
"('Владимирская область', 'Владимирская область')",46.70664282767157,16.1,410443.6,20100.354853336536,26.0,177680,12.5,11800,5.6
"('Волгоградская область', 'Волгоградская область')",22.06858793199677,17.9,394256.5,21756.52030997545,25.1,167446,11.9,10604,7.6
"('Вологодская область', 'Вологодская область')",8.02926096853875,16.9,544379.2,31281.905240713684,25.9,182920,12.8,12438,6.1
"('Воронежская область', 'Воронежская область')",44.51135667228436,19.9,459629.5,21279.305490892584,21.6,252416,8.5,9834,4.3
"('Еврейская автономная область', 'Еврейская автономная область')",4.364506079236856,13.8,400340.5,81543.92283478095,31.2,168066,23.6,16336,6.3
"('Забайкальский край', 'Забайкальский край')",2.4536226649254904,17.1,402594.6,43161.01238702463,26.5,164741,20.9,13518,9.8
"('Ивановская область', 'Ивановская область')",46.5146708961142,18.1,273821.5,36122.88481594769,25.1,180314,13.7,11535,5.4
"('Иркутская область', 'Иркутская область')",3.086023545323845,16.3,631591.9,28922.77278135224,28.6,164879,17.6,12745,7.7
"('Кабардино-Балкарская Республика', 'Кабардино-Балкарская Республика')",69.63512429831596,18.9,210674.1,44625.75344839064,34.4,154476,24.2,11819,14.8
"('Калининградская область', 'Калининградская область')",66.94294214876032,15.6,530036.9,79177.88846455154,12.6,183286,13.5,12943,5.9
"('Калужская область', 'Калужская область')",33.66944285858213,15.5,558174.6,25924.555061845746,16.9,214672,9.7,11518,4.7
"('Камчатский край', 'Камчатский край')",0.6742038662430672,15.9,942802.0,213153.4946492831,13.3,202352,14.6,22535,3.8
"('Карачаево-Черкесская Республика', 'Карачаево-Черкесская Республика')",32.60685017860895,18.3,207471.5,54875.86383326031,26.5,83515,23.2,10926,14.8
"('Кемеровская область', 'Кемеровская область')",27.765515800470094,16.3,392374.9,23607.495148657526,23.0,153033,13.2,11023,6.7
"('Кировская область', 'Кировская область')",10.487331151245286,14.9,315153.9,28985.39533933722,27.6,163224,14.0,11441,5.4
"('Костромская область', 'Костромская область')",10.51942336117985,14.5,323951.6,31184.329868121284,22.5,179587,12.5,11993,5.5
"('Краснодарский край', 'Краснодарский край')",75.18661985824998,18.1,460720.2,16790.044287147022,25.7,261857,10.4,12191,5.7
"('Красноярский край', 'Красноярский край')",1.2110269702048804,16.6,951613.7,20493.742930398726,24.8,196888,17.0,13839,6.0
"('Курганская область', 'Курганская область')",11.570697179946285,16.7,294464.0,39359.60669876422,26.1,147332,19.3,11204,8.3
"('Курская область', 'Курская область')",36.8039470613728,17.1,487030.7,23178.07734676741,23.2,207134,9.9,10748,4.9
"('Ленинградская область', 'Ленинградская область')",22.35629498975068,17.0,661328.6,11951.739760825898,16.7,255646,8.7,12231,5.3
"('Липецкая область', 'Липецкая область')",47.38100386742629,16.5,546151.3,20901.26634731795,22.3,236552,8.4,10627,4.3
"('Магаданская область', 'Магаданская область')",0.3030484535012455,13.8,2035007.0,131953.17404519476,11.1,245817,8.7,22027,5.7
"('Москва', 'Москва')",4950.440843420539,13.8,1567644.8,22752.9334536636,17.5,408674,6.0,20260,2.6
