region,cluster
"('Алтайский край', 'Алтайский край')",2
"('Амурская область', 'Амурская область')",2
"('Архангельская область без Ненецкого АО', 'Архангельская область без Ненецкого АО')",2
"('Астраханская область', 'Астраханская область')",2
"('Белгородская область', 'Белгородская область')",2
"('Брянская область', 'Брянская область')",2
"('Владимирская область', 'Владимирская область')",2
"('Волгоградская область', 'Волгоградская область')",2
"('Вологодская область', 'Вологодская область')",2
"('Воронежская область', 'Воронежская область')",2
"('Еврейская автономная область', 'Еврейская автономная область')",1
"('Забайкальский край', 'Забайкальский край')",2
"('Ивановская область', 'Ивановская область')",2
"('Иркутская область', 'Иркутская область')",2
"('Кабардино-Балкарская Республика', 'Кабардино-Балкарская Республика')",1
"('Калининградская область', 'Калининградская область')",2
"('Калужская область', 'Калужская область')",2
"('Камчатский край', 'Камчатский край')",0
"('Карачаево-Черкесская Республика', 'Карачаево-Черкесская Республика')",1
"('Кемеровская область', 'Кемеровская область')",2
"('Кировская область', 'Кировская область')",2
"('Костромская область', 'Костромская область')",2
"('Краснодарский край', 'Краснодарский край')",2
"('Красноярский край', 'Красноярский край')",2
"('Курганская область', 'Курганская область')",2
"('Курская область', 'Курская область')",2
"('Ленинградская область', 'Ленинградская область')",2
"('Липецкая область', 'Липецкая область')",2
"('Магаданская область', 'Магаданская область')",0
"('Москва', 'Москва')",3
"('Московская область', 'Московская область')",0
"('Мурманская область', 'Мурманская область')",2
"('Ненецкий автономный округ', 'Ненецкий автономный округ')",0
"('Нижегородская область', 'Нижегородская область')",2
"('Новгородская область', 'Новгородская область')",2
"('Новосибирская область', 'Новосибирская область')",2
"('Омская область', 'Омская область')",2
"('Оренбургская область', 'Оренбургская область')",2
"('Орловская область', 'Орловская область')",2
"('Пензенская область', 'Пензенская область')",2
"('Пермский край', 'Пермский край')",2
"('Приморский край', 'Приморский край')",2
"('Псковская область', 'Псковская область')",2
"('Республика Адыгея', 'Республика Адыгея')",2
"('Республика Алтай', 'Республика Алтай')",1
"('Республика Башкортостан', 'Республика Башкортостан')",2
"('Республика Бурятия', 'Республика Бурятия')",2
"('Республика Дагестан', 'Республика Дагестан')",1
"('Республика Ингушетия', 'Республика Ингушетия')",1
"('Республика Калмыкия', 'Республика Калмыкия')",1
"('Республика Карелия', 'Республика Карелия')",2
"('Республика Коми', 'Республика Коми')",2
"('Республика Крым', 'Республика Крым')",2
"('Республика Марий Эл', 'Республика Марий Эл')",2
"('Республика Мордовия', 'Республика Мордовия')",2
"('Республика Саха (Якутия)', 'Республика Саха (Якутия)')",0
"('Республика Северная Осетия-Алания', 'Республика Северная Осетия-Алания')",2
"('Республика Татарстан', 'Республика Татарстан')",2
"('Республика Тыва', 'Республика Тыва')",1
"('Республика Хакасия', 'Республика Хакасия')",2
"('Ростовская область', 'Ростовская область')",2
"('Рязанская область', 'Рязанская область')",2
"('Самарская область', 'Самарская область')",2
"('Санкт-Петербург', 'Санкт-Петербург')",3
"('Саратовская область', 'Саратовская область')",2
"('Сахалинская область', 'Сахалинская область')",0
"('Свердловская область', 'Свердловская область')",2
"('Севастополь', 'Севастополь')",2
"('Смоленская область', 'Смоленская область')",2
"('Ставропольский край', 'Ставропольский край')",2
"('Тамбовская область', 'Тамбовская область')",2
"('Тверская область', 'Тверская область')",2
"('Томская область', 'Томская область')",2
"('Тульская область', 'Тульская область')",2
"('Тюменская область без округов', 'Тюменская область без округов')",2
"('Удмуртская Республика', 'Удмуртская Республика')",2
"('Ульяновская область', 'Ульяновская область')",2
"('Хабаровский край', 'Хабаровский край')",2
"('Ханты-Мансийский автономный округ - Югра', 'Ханты-Мансийский автономный округ - Югра')",0
"('Челябинская область', 'Челябинская область')",2
"('Чеченская Республика', 'Чеченская Республика')",1
"('Чувашская Республика', 'Чувашская Республика')",2
"('Чукотский автономный округ', 'Чукотский автономный округ')",0
"('Ямало-Ненецкий автономный округ', 'Ямало-Ненецкий автономный округ')",0
"('Ярославская область', 'Ярославская область')",2
